file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/styles.css,37,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,77
static/styles.css,38,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,40
static/styles.css,39,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,23
static/styles.css,40,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,15
static/styles.css,41,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,44
static/styles.css,42,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,43,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,44,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,27
static/styles.css,45,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,1
static/styles.css,46,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,1
static/styles.css,47,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,1
static/styles.css,48,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,1
static/styles.css,49,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,2
static/styles.css,50,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,15
static/styles.css,51,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,15
static/styles.css,52,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,18
static/styles.css,53,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,54,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,55,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,2
static/styles.css,56,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,16
